Name	Beruf
Gröhe, Hermann	Jurist
Grötsch, Ulrich	Polizeibeamter
Grosse-Brömer, Michael	Rechtsanwalt
Grübel, Markus	Notar
Grütters, Prof. Monika	Literatur- und Kunsthistorikerin
Grützmacher, Sabine	Sozialpädagogin
Grund, Manfred	Diplom-Elektroingenieur
Grundl, Erhard	
Grundmann, Oliver	Rechtsanwalt
Güler, Serap	Beamtin
Güntzler, Fritz	Wirtschaftsprüfer, Steuerberater
Gürpinar, Ates	Medienwissenschaftler
Gutting, Olav	Rechtsanwalt
Gysi, Dr. Gregor	Rechtsanwalt
Haase, Christian	Diplom-Verwaltungswirt
Habeck, Dr. Robert	Politiker
Hacker, Thomas	Diplom-Kaufmann
Hagedorn, Bettina	Goldschmiedin
Hagl-Kehl, Rita	Gymnasiallehrerin
Hahn, Dr. André	
Hahn, Florian	Electronic Marketing Fachwirt (BAW)
Hakverdi, Metin	Volljurist
Hanke, Reginald	Malermeister
Harder-Kühnel, Mariana Iris	Rechtsanwältin
Hardt, Jürgen	Diplom-Volkswirt
Hartewig, Philipp	Jurist
Hartmann, Sebastian	
Harzer, Ulrike	Geschäftsführerin
Haßelmann, Britta	Diplom-Sozialarbeiterin
Hauer, Matthias	Rechtsanwalt
Haug, Jochen	Rechtsanwalt
Heck, Dr. Stefan	Staatssekretär im Ministerium des Innern und für Sport
Heidenblut, Dirk	Geschäftsführer
Heidt, Peter	Rechtsanwalt
Heil (Peine), Hubertus	Politikwissenschaftler
Heil, Mechthild	Diplom-Ing. Architektin
Heiligenstadt, Frauke	Dipl.-Verwaltungswirtin
Heilmann, Thomas	Volljurist
Heinrich, Gabriela	Redakteurin
Heitmann, Linda	Geschäftsführerin in der Suchtkrankenhilfe
Helferich, Matthias	Rechtsanwalt
Helfrich, Mark	Diplom-Kaufmann (FH)
Helling-Plahr, Katrin	Rechtsanwältin
Hellmich, Wolfgang	
Henneberger, Kathrin	Projektkoordinatorin
Hennig, Anke	Qualifizierte Kindertagespflegeperson
Hennig-Wellsow, Susanne	Diplom-Pädagogin
Hennrich, Michael	
Henrichmann, Marc	Rechtsanwalt
Herbrand, Markus	Diplom-Finanzwirt (FH) / Steuerberater
Herbst, Torsten	Diplom-Kaufmann (FH)
Herrmann, Bernhard	Diplom-Wasserbauingenieur
Heselhaus, Nadine	Verwaltungsbeamtin
Hess, Martin	Polizeibeamter
Hessel, Katja	Rechtsanwältin
Heveling, Ansgar	Jurist
Hierl, Susanne	Rechtsanwältin
Hilse, Karsten	Polizeibeamter
Hirte, Christian	Rechtsanwalt / Fachanwalt für Steuerrecht
Hitschler, Thomas	
Hocker, Dr. Gero Clemens	Wirtschaftswissenschaftler
Höchst, Nicole	Lehrerin
Höferlin, Manuel	IT-Unternehmer
Hönel, Bruno	Psychologiestudent
Hoffmann, Alexander	Jurist
Hoffmann, Dr. Bettina	Diplom-Biologin
Hoffmann, Dr. Christoph	Diplom-Forstwissenschaftler
Hofreiter, Dr. Anton	Diplom-Biologe
Holm, Leif-Erik	Ökonom (M. Sc.)
Hoppenstedt, Dr. Hendrik	Jurist
Hoppermann, Franziska	leitende Regierungsdirektorin
Hostert, Jasmina	Politikwissenschaftlerin
Houben, Reinhard	Unternehmer
Huber, Johannes	Diplom-Soziologe, Finanzbuchhalter
Hubertz, Verena	Gründerin und Unternehmerin
Hümpfer, Markus	Ingenieur
Hüppe, Hubert	Diplom-Verwaltungswirt
Hunko, Andrej	Mediengestalter
Huy, Gerrit	Diplom-Mathematikerin
in der Beek, Olaf	
Irlstorfer, Erich	
Jacobi, Fabian	Rechtsanwalt
Janecek, Dieter	Politikwissenschaftler
Janich, Steffen	Polizeibeamter
Janssen, Anne	Lehrerin
Jarzombek, Thomas	IT-Berater
Jensen, Gyde	Politikwissenschaftlerin (M.A.)
Jongen, Dr. Marc	Dozent für Philosophie
Jung, Andreas	
Jung, Ingmar	
Junge, Frank	Diplom-Sportlehrer
Juratovic, Josip	Kfz-Mechaniker
Jurisch, Dr. Ann-Veruschka	Juristin
Kaczmarek, Oliver	Sozialwissenschaftler
Kaddor, Lamya	Islamwissenschaftlerin
Kaiser, Elisabeth	Politik- und Verwaltungswissenschaftlerin 
Kappert-Gonther, Dr. Kirsten	Ärztin
Karaahmetoğlu, Macit	Rechtsanwalt
Karliczek, Anja	Diplom-Kauffrau
Kasper, Carlos	Zollbeamter
Kassautzki, Anna	Staatswissenschaftlerin
Katzmarek, Gabriele	Gewerkschaftssekretärin
Kaufmann, Dr. Malte	Diplom-Volkswirt
Kaufmann, Prof. Dr. Michael	Ingenieur
Keller, Rainer Johannes	Krankenpfleger und Notfallsanitäter
Kellner, Michael	Bundesgeschäftsführer
Kemmer, Ronja	Volkswirtin
Kersten, Dr. Franziska	Tierärztin
Keul, Katja	Rechtsanwältin
Keuter, Stefan	Bankkaufmann, Diplom-Betriebswirt (FH)
Khan, Misbah	Landesvorsitzende
Kiesewetter, Roderich	Diplom-Kaufmann
Kießling, Michael	Diplom-Bauingenieur (FH)
Kindler, Sven-Christian	Betriebswirt
Kippels, Dr. Georg	Rechtsanwalt
Kipping, Katja	Literaturwissenschaftlerin
Kiziltepe, Cansel	Diplom-Volkswirtin
Kleebank, Helmut	Krankenpfleger, Lehrer
Klein, Karsten	Diplom-Kaufmann
Klein, Dr. Ottilie	Abteilungsdirektorin
Klein, Volkmar	Diplom-Volkswirt
Klein-Schmeink, Maria	Soziologin
Kleinwächter, Norbert	Lehrer
Klinck, Dr. Kristian	Studienrat
Klingbeil, Lars	Politikwissenschaftler
Klöckner, Julia	Chefredakteurin
Klose, Annika	Sozialwissenschaftlerin
Kluckert, Daniela	Diplom-Volkswirtin
Klüssendorf, Tim	Volks- und Betriebswirt
Knoerig, Axel	Politik- und Kommunikationswissenschaftler
Kober, Pascal	Militärseelsorger
Köhler, Dr. Lukas	Philosoph
