Name	Partei	Beruf
Fester, Emilia	Grüne	Regieassistentin
Fiedler, Sebastian	SPD	Kriminalbeamter
Föst, Daniel	FDP	
Franke, Dr. Edgar	SPD	Jurist
Frei, Thorsten	CDU/CSU	
Fricke, Otto	FDP	Rechtsanwalt
Friedhoff, Dietmar	AfD	Diplom-Ingenieur / Vertriebstrainer
Friedrich (Hof), Dr. Hans-Peter	CDU/CSU	Rechtsanwalt
Frieser, Michael	CDU/CSU	Rechtsanwalt
Frohnmaier, Markus	AfD	Pressesprecher
Frömming, Dr. Götz	AfD	Gymnasiallehrer
Funke, Fabian	SPD	Internationale Beziehungen (B. A.)
Funke-Kaiser, Maximilian	FDP	Betriebswirt
Gädechens, Ingo	CDU/CSU	
Gambir, Schahina	Grüne	Politikwissenschaftlerin
Ganserer, Tessa	Grüne	Diplom-Ingenieurin Wald- und Forstwirtschaft
Gaßner-Herz, Martin	FDP	Verwaltungsangestellter
Gastel, Matthias	Grüne	
Gauland, Dr. Alexander	AfD	Publizist
Gava, Manuel	SPD	Vertriebsleiter
Gebhart, Dr. Thomas	CDU/CSU	
Gehring, Kai	Grüne	Diplom-Sozialwissenschaftler
Geissler, Dr. Jonas	CDU/CSU	Regierungsrat
Gelbhaar, Stefan	Grüne	Rechtsanwalt
Gerdes, Michael	SPD	Elektrohauer
Gerschau, Knut	FDP	Geschäftsführer
Gerster, Martin	SPD	
Gesenhues, Dr. Jan-Niclas	Grüne	Volkswirt
Glaser, Albrecht	AfD	Jurist
Glöckner, Angelika	SPD	Verwaltungsfachwirtin, Betriebswirtin
Gnauck, Hannes	AfD	Soldat auf Zeit
Gohlke, Nicole	Die Linke	Sozialwissenschaftlerin
Göring-Eckardt, Katrin	Grüne	
Görke, Christian	Die Linke	
Gottschalk, Kay	AfD	Diplom-Kaufmann, Bankkaufmann
Gramling, Fabian	CDU/CSU	Bankkaufmann (M. A.)
Gräßle, Dr. Ingeborg	CDU/CSU	Journalistin
Grau, Prof. Dr. Armin	Grüne	Arzt
Gremmels, Timon	SPD	Diplom-Politologe
Griese, Kerstin	SPD	Historikerin/Politikwissenschaftlerin
Gröhe, Hermann	CDU/CSU	Jurist
Grosse-Brömer, Michael	CDU/CSU	Rechtsanwalt
Grötsch, Ulrich	SPD	Polizeibeamter
Grübel, Markus	CDU/CSU	Notar
Grundl, Erhard	Grüne	
Grund, Manfred	CDU/CSU	Diplom-Elektroingenieur
Grundmann, Oliver	CDU/CSU	Rechtsanwalt
Grütters, Prof. Monika	CDU/CSU	Literatur- und Kunsthistorikerin
Grützmacher, Sabine	Grüne	Sozialpädagogin
Güler, Serap	CDU/CSU	Beamtin
Güntzler, Fritz	CDU/CSU	Wirtschaftsprüfer, Steuerberater
Gürpinar, Ates	Die Linke	Medienwissenschaftler
Gutting, Olav	CDU/CSU	Rechtsanwalt
Gysi, Dr. Gregor	Die Linke	Rechtsanwalt
Haase, Christian	CDU/CSU	Diplom-Verwaltungswirt
Habeck, Dr. Robert	Grüne	Politiker
Hacker, Thomas	FDP	Diplom-Kaufmann
Hagedorn, Bettina	SPD	Goldschmiedin
Hagl-Kehl, Rita	SPD	Gymnasiallehrerin
Hahn, Dr. André	Die Linke	
Hahn, Florian	CDU/CSU	Electronic Marketing Fachwirt (BAW)
Hakverdi, Metin	SPD	Volljurist
Hanke, Reginald	FDP	Malermeister
Harder-Kühnel, Mariana Iris	AfD	Rechtsanwältin
Hardt, Jürgen	CDU/CSU	Diplom-Volkswirt
Hartewig, Philipp	FDP	Jurist
Hartmann, Sebastian	SPD	
Harzer, Ulrike	FDP	Geschäftsführerin
Haßelmann, Britta	Grüne	Diplom-Sozialarbeiterin
Hauer, Matthias	CDU/CSU	Rechtsanwalt
Haug, Jochen	AfD	Rechtsanwalt
Heck, Dr. Stefan	CDU/CSU	Staatssekretär im Ministerium des Innern und für Sport
Heidenblut, Dirk	SPD	Geschäftsführer
Heidt, Peter	FDP	Rechtsanwalt
Heiligenstadt, Frauke	SPD	Dipl.-Verwaltungswirtin
Heilmann, Thomas	CDU/CSU	Volljurist
Heil, Mechthild	CDU/CSU	Diplom-Ing. Architektin
Heil (Peine), Hubertus	SPD	Politikwissenschaftler
Heinrich, Gabriela	SPD	Redakteurin
Heitmann, Linda	Grüne	Geschäftsführerin in der Suchtkrankenhilfe
Helferich, Matthias	fraktionslos	Rechtsanwalt
Helfrich, Mark	CDU/CSU	Diplom-Kaufmann (FH)
Helling-Plahr, Katrin	FDP	Rechtsanwältin
Hellmich, Wolfgang	SPD	
Henneberger, Kathrin	Grüne	Projektkoordinatorin
Hennig, Anke	SPD	Qualifizierte Kindertagespflegeperson
Hennig-Wellsow, Susanne	Die Linke	Diplom-Pädagogin
Hennrich, Michael	CDU/CSU	
Henrichmann, Marc	CDU/CSU	Rechtsanwalt
Herbrand, Markus	FDP	Diplom-Finanzwirt (FH) / Steuerberater
Herbst, Torsten	FDP	Diplom-Kaufmann (FH)
Herrmann, Bernhard	Grüne	Diplom-Wasserbauingenieur
Heselhaus, Nadine	SPD	Verwaltungsbeamtin
Hessel, Katja	FDP	Rechtsanwältin
Hess, Martin	AfD	Polizeibeamter
Heveling, Ansgar	CDU/CSU	Jurist
Hierl, Susanne	CDU/CSU	Rechtsanwältin
Hilse, Karsten	AfD	Polizeibeamter
Hirte, Christian	CDU/CSU	Rechtsanwalt / Fachanwalt für Steuerrecht
Hitschler, Thomas	SPD	
Höchst, Nicole	AfD	Lehrerin
Hocker, Dr. Gero Clemens	FDP	Wirtschaftswissenschaftler
Höferlin, Manuel	FDP	IT-Unternehmer
Hoffmann, Alexander	CDU/CSU	Jurist
Hoffmann, Dr. Bettina	Grüne	Diplom-Biologin
Hoffmann, Dr. Christoph	FDP	Diplom-Forstwissenschaftler
Hofreiter, Dr. Anton	Grüne	Diplom-Biologe
Holm, Leif-Erik	AfD	Ökonom (M. Sc.)
Hönel, Bruno	Grüne	Psychologiestudent
